Status,Timeframe,Q1,Q2,Q3,Q4,Publications,Citations
Published,Years 1-5,141,177,184,196,698,30007
Published,Year 6,58,68,82,68,276,11619
In press,Year 6,0,0,1,1,2,
Published,Year 7,56,66,77,92,291,12865
In press,Year 7,0,1,0,0,1,
Published,Year 8,69,93,74,115,351,13340
In press,Year 8,1,0,1,1,3,
Published,Year 9,96,144,68,89,397,20865
In press,Year 9,0,1,0,1,2,
Published,Year 10,64,40,33,24,161,7532
In press,Year 10,1,0,3,2,6,
Published,Year 11,19,7,0,0,26,1206
In press,Year 11,1,2,0,0,3,
Aggregate,,506,599,523,589,2217,
